src,dst,relation,peak_lag,peak_corr,corr_at_lag0,reverse_peak_corr
Nuclear power,Uranium,fuel,0,0.506166116793741,0.506166116793741,0.506166116793741
ChatGPT,OpenAI,product-of,0,0.32855218298299804,0.32855218298299804,0.32855218298299804
Electrical grid,Copper,material,0,0.287734916894338,0.287734916894338,0.287734916894338
TSMC,ASML,equipment,0,0.28727082715620844,0.28727082715620844,0.28727082715620844
Electrical grid,Transformer (device),equipment,0,0.27059187096111803,0.27059187096111803,0.27059187096111803
HBM,Micron,supplier,0,0.24834713575896172,0.24834713575896172,0.24834713575896172
AMD,TSMC,foundry,0,0.23619647064020474,0.23619647064020474,0.23619647064020474
Nvidia,TSMC,foundry,0,0.23086573828869403,0.23086573828869403,0.23086573828869403
Nuclear power,SMR,technology,0,0.18473985121299738,0.18473985121299738,0.18473985121299738
Data center,NextEra,power-purchase,1,0.16651877763730216,0.15123063484041896,0.15942042667133502
AI,Nvidia,compute-demand,19,0.14280751117481005,0.03293976470022794,0.0626363784612338
Data center,Vistra,power-purchase,14,0.1302150555625572,0.003736116355272438,0.07020966237206396
Data center,Vertiv,cooling-power-equipment,1,0.12985282043828966,0.11145651633588852,0.13472775102271367
Data center,Electrical grid,load-growth,0,0.11764281484808627,0.11764281484808627,0.11764281484808627
HBM,SK Hynix,supplier,23,0.1141169595742533,-0.04639894804763513,0.09840508440283463
Data center,AWS,operator,5,0.10517018541693797,0.054931855066447065,0.10551594904112807
Data center,Constellation,power-purchase,21,0.08776750027152797,0.05364195207135527,0.057354513880639287
Tesla,Humanoid robot,builds,19,0.08444504464388632,0.07104767715869809,0.07104767715869809
Electrical grid,Eaton,equipment,6,0.08402950862738079,0.06541521304143526,0.07519684264205828
Nvidia,HBM,component,29,0.08341349332388667,0.04538317749554362,0.06021883032257036
Nuclear power,Constellation,operator,23,0.07938877099935104,-0.008731195988207777,0.04304364527636683
AI,AMD,compute-demand,18,0.07631114253640608,-0.07077766248944023,0.01710779588438987
Data center,Oracle,operator,6,0.07307416034325773,0.027815617455574138,0.07764894740814422
Samsung,ASML,equipment,30,0.07196225156731349,-0.07845754843021684,-0.026466111604994107
Electrical grid,Quanta Services,construction,26,0.05570045195156186,-0.022115849019309606,0.02924986252929359
OpenAI,Azure,hosted-on,1,0.050981116511599915,0.042615152134974285,0.0603625427050393
HBM,Samsung,supplier,0,0.043708270717679805,0.043708270717679805,0.043708270717679805
Nvidia,Data center,deployed-in,20,0.04129808629656852,-0.0058966237103078335,0.09332515856324394
ChatGPT,Nvidia,compute-demand,7,0.03686877861196865,-0.03163763440023552,0.11136462937503538
Data center,Natural gas,power-demand,24,0.0366473159216936,-0.04367940061678261,0.05727859833467192
Anthropic,Nvidia,compute-demand,20,0.036163193282480445,-0.0611422186034008,0.03170971772518044
Humanoid robot,Nvidia,compute-demand,30,0.02621922829832502,-0.056453381254571375,0.0020436407729716635
OpenAI,Nvidia,compute-demand,7,0.02240733815483106,-0.07979673537297201,0.002084843579590536
ChatGPT,Azure,hosted-on,24,0.015049137713225122,-0.05236491334600308,0.0019053574480199684
Data center,Nuclear power,power-demand,30,0.012868834982118516,-0.07061438706685301,0.04737610274227035
Data center,Google Cloud,operator,1,0.012459361116065477,0.00010453392500898777,0.07517209661553206
Data center,GE Vernova,turbines,10,0.01132932080558905,-0.08863842765475195,0.0595131075062467
Data center,CoreWeave,operator,13,-0.004363834177908016,-0.13204805689772678,-0.051317314334248514
AI,Data center,deployed-in,0,-0.01670287160788724,-0.01670287160788724,0.07589751172993174
