a,b,distance,peak_corr
ChatGPT,OpenAI,1,0.32855218298299804
ChatGPT,Anthropic,2,0.12053653047185675
ChatGPT,AI,2,0.1703969456410265
ChatGPT,Humanoid robot,2,0.11229368343468404
ChatGPT,Nvidia,1,0.11136462937503538
ChatGPT,AMD,3,0.005385224517278509
ChatGPT,TSMC,2,0.08114367502052669
ChatGPT,ASML,3,0.1419209978941695
ChatGPT,SK Hynix,3,0.08870129938370751
ChatGPT,Micron,3,0.052671286918027097
ChatGPT,Samsung,3,0.10985868899096879
ChatGPT,HBM,2,0.09595910561255752
ChatGPT,Data center,2,0.06377975328554755
ChatGPT,Azure,1,0.015049137713225122
ChatGPT,AWS,3,0.03728143576690446
ChatGPT,Google Cloud,3,0.07715400088240844
ChatGPT,CoreWeave,3,0.3081176902674856
ChatGPT,Oracle,3,0.0626344644891366
ChatGPT,Vertiv,3,0.0312134209429917
ChatGPT,Nuclear power,3,0.18427575282121747
ChatGPT,SMR,4,0.12175508541532563
ChatGPT,Natural gas,3,0.03761106728465903
ChatGPT,Constellation,3,0.11322982677836677
ChatGPT,NextEra,3,0.09655395903774885
ChatGPT,Vistra,3,0.06472680560243924
ChatGPT,GE Vernova,3,0.021575655274329426
ChatGPT,Electrical grid,3,0.16361019398709373
ChatGPT,Transformer (device),4,0.09053420618849105
ChatGPT,Quanta Services,4,0.05432991473921519
ChatGPT,Eaton,4,0.08551027174847205
ChatGPT,Copper,4,0.1438792178421473
ChatGPT,Uranium,4,0.21942438430959485
ChatGPT,Tesla,3,0.09428991278774718
OpenAI,Anthropic,2,0.0974717567133151
OpenAI,AI,2,0.08428762914396722
OpenAI,Humanoid robot,2,0.07584324784642828
OpenAI,Nvidia,1,0.02240733815483106
OpenAI,AMD,3,0.06126007068755516
OpenAI,TSMC,2,0.08297800781081492
OpenAI,ASML,3,0.0661350952641111
OpenAI,SK Hynix,3,0.0839209760518232
OpenAI,Micron,3,0.0597880873697459
OpenAI,Samsung,3,0.13032192470678838
OpenAI,HBM,2,0.053354589979352586
OpenAI,Data center,2,0.08922529059149625
OpenAI,Azure,1,0.0603625427050393
OpenAI,AWS,3,0.029620016507098033
OpenAI,Google Cloud,3,0.06073434994853461
OpenAI,CoreWeave,3,0.08717728750798626
OpenAI,Oracle,3,0.0659204045119027
OpenAI,Vertiv,3,0.061456086632179004
OpenAI,Nuclear power,3,0.034375021090436546
OpenAI,SMR,4,0.08362681585384552
OpenAI,Natural gas,3,0.08647383065529317
OpenAI,Constellation,3,0.028393350007111785
OpenAI,NextEra,3,0.04224215153603204
OpenAI,Vistra,3,0.07037509938875322
OpenAI,GE Vernova,3,0.054935698430477624
OpenAI,Electrical grid,3,0.05701202458819263
OpenAI,Transformer (device),4,0.10722357222963902
OpenAI,Quanta Services,4,0.08687276889737551
OpenAI,Eaton,4,0.06778120492221708
OpenAI,Copper,4,0.05728637660627645
OpenAI,Uranium,4,0.057777306896276
OpenAI,Tesla,3,0.16556164152477706
Anthropic,AI,2,0.13320181210493912
Anthropic,Humanoid robot,2,0.034574424560034914
Anthropic,Nvidia,1,0.036163193282480445
Anthropic,AMD,3,0.04827147631480997
Anthropic,TSMC,2,0.0675614946638488
Anthropic,ASML,3,0.11458091244093696
Anthropic,SK Hynix,3,0.04630546938945772
Anthropic,Micron,3,0.0485838904991472
Anthropic,Samsung,3,0.01144327411300046
Anthropic,HBM,2,0.07100601568062688
Anthropic,Data center,2,0.030387730214330163
Anthropic,Azure,3,0.08773872461655093
Anthropic,AWS,3,0.07230674762751454
Anthropic,Google Cloud,3,0.07050460293441288
Anthropic,CoreWeave,3,0.08790037048381304
Anthropic,Oracle,3,0.01728907312339702
Anthropic,Vertiv,3,0.12509536231247345
Anthropic,Nuclear power,3,0.030859637832235345
Anthropic,SMR,4,0.1613933492873856
Anthropic,Natural gas,3,0.13679848429287123
Anthropic,Constellation,3,0.03214937287650673
Anthropic,NextEra,3,0.11269646806568108
Anthropic,Vistra,3,0.06838092027110322
Anthropic,GE Vernova,3,0.24107685822252845
Anthropic,Electrical grid,3,0.0542461264149495
Anthropic,Transformer (device),4,0.07860483136113007
Anthropic,Quanta Services,4,0.0626776852306303
Anthropic,Eaton,4,0.0775595534762582
Anthropic,Copper,4,0.0484102503302887
Anthropic,Uranium,4,0.09731914498926854
Anthropic,Tesla,3,0.0675813009584795
AI,Humanoid robot,2,0.040985690732539826
AI,Nvidia,1,0.14280751117481005
