a,b,distance,peak_corr,theme
ChatGPT,OpenAI,1,0.32855218298299804,ai-buildout
ChatGPT,Anthropic,2,0.12053653047185675,ai-buildout
ChatGPT,AI,2,0.1703969456410265,ai-buildout
ChatGPT,Humanoid robot,2,0.11229368343468404,ai-buildout
ChatGPT,Nvidia,1,0.11136462937503538,ai-buildout
ChatGPT,AMD,3,0.005385224517278509,ai-buildout
ChatGPT,TSMC,2,0.08114367502052669,ai-buildout
ChatGPT,ASML,3,0.1419209978941695,ai-buildout
ChatGPT,SK Hynix,3,0.08870129938370751,ai-buildout
ChatGPT,Micron,3,0.052671286918027097,ai-buildout
ChatGPT,Samsung,3,0.10985868899096879,ai-buildout
ChatGPT,HBM,2,0.09595910561255752,ai-buildout
ChatGPT,Data center,2,0.06377975328554755,ai-buildout
ChatGPT,Azure,1,0.015049137713225122,ai-buildout
ChatGPT,AWS,3,0.03728143576690446,ai-buildout
ChatGPT,Google Cloud,3,0.07715400088240844,ai-buildout
ChatGPT,CoreWeave,3,0.3081176902674856,ai-buildout
ChatGPT,Oracle,3,0.0626344644891366,ai-buildout
ChatGPT,Vertiv,3,0.0312134209429917,ai-buildout
ChatGPT,Nuclear power,3,0.18427575282121747,ai-buildout
ChatGPT,SMR,4,0.12175508541532563,ai-buildout
ChatGPT,Natural gas,3,0.03761106728465903,ai-buildout
ChatGPT,Constellation,3,0.11322982677836677,ai-buildout
ChatGPT,NextEra,3,0.09655395903774885,ai-buildout
ChatGPT,Vistra,3,0.06472680560243924,ai-buildout
ChatGPT,GE Vernova,3,0.021575655274329426,ai-buildout
ChatGPT,Electrical grid,3,0.16361019398709373,ai-buildout
ChatGPT,Transformer (device),4,0.09053420618849105,ai-buildout
ChatGPT,Quanta Services,4,0.05432991473921519,ai-buildout
ChatGPT,Eaton,4,0.08551027174847205,ai-buildout
ChatGPT,Copper,4,0.1438792178421473,ai-buildout
ChatGPT,Uranium,4,0.21942438430959485,ai-buildout
ChatGPT,Tesla,3,0.09428991278774718,ai-buildout
OpenAI,Anthropic,2,0.0974717567133151,ai-buildout
OpenAI,AI,2,0.08428762914396722,ai-buildout
OpenAI,Humanoid robot,2,0.07584324784642828,ai-buildout
OpenAI,Nvidia,1,0.02240733815483106,ai-buildout
OpenAI,AMD,3,0.06126007068755516,ai-buildout
OpenAI,TSMC,2,0.08297800781081492,ai-buildout
OpenAI,ASML,3,0.0661350952641111,ai-buildout
OpenAI,SK Hynix,3,0.0839209760518232,ai-buildout
OpenAI,Micron,3,0.0597880873697459,ai-buildout
OpenAI,Samsung,3,0.13032192470678838,ai-buildout
OpenAI,HBM,2,0.053354589979352586,ai-buildout
OpenAI,Data center,2,0.08922529059149625,ai-buildout
OpenAI,Azure,1,0.0603625427050393,ai-buildout
OpenAI,AWS,3,0.029620016507098033,ai-buildout
OpenAI,Google Cloud,3,0.06073434994853461,ai-buildout
OpenAI,CoreWeave,3,0.08717728750798626,ai-buildout
OpenAI,Oracle,3,0.0659204045119027,ai-buildout
OpenAI,Vertiv,3,0.061456086632179004,ai-buildout
OpenAI,Nuclear power,3,0.034375021090436546,ai-buildout
OpenAI,SMR,4,0.08362681585384552,ai-buildout
OpenAI,Natural gas,3,0.08647383065529317,ai-buildout
OpenAI,Constellation,3,0.028393350007111785,ai-buildout
OpenAI,NextEra,3,0.04224215153603204,ai-buildout
OpenAI,Vistra,3,0.07037509938875322,ai-buildout
OpenAI,GE Vernova,3,0.054935698430477624,ai-buildout
OpenAI,Electrical grid,3,0.05701202458819263,ai-buildout
OpenAI,Transformer (device),4,0.10722357222963902,ai-buildout
OpenAI,Quanta Services,4,0.08687276889737551,ai-buildout
OpenAI,Eaton,4,0.06778120492221708,ai-buildout
OpenAI,Copper,4,0.05728637660627645,ai-buildout
